competition,year,vehicle_type,source_file,team,car_num,overall_place,total_score,penalty,total_score_clean,country,engine_cylinders,num_motors,engine_displacement_cc,tractive_system_voltage_v,weight_reported_kg,weight_reported_lbs,design_status_final_or_blank,design_raw_score,design_document_penalty,design_late_penalty,design_score,presentation_status_final_or_blank_or_rfp,presentation_raw_score,presentation_penalty,presentation_score,cost_adjusted_cost,cost_price_score,cost_accuracy_score,cost_engineering_drawings_score,cost_scenario_score,cost_penalty,cost_score,acceleration_number_of_runs,acceleration_best_time_raw,acceleration_best_time_cones,acceleration_best_adjusted_time,acceleration_penalty,acceleration_score,skidpad_number_of_runs,skidpad_best_time_raw_left,skidpad_best_time_raw_right,skidpad_best_time_raw_average,skidpad_best_time_cones,skidpad_best_adjusted_time,skidpad_penalty,skidpad_score,autocross_number_of_runs,autocross_best_time_raw,autocross_best_time_cones,autocross_best_time_off_course,autocross_best_adjusted_time,autocross_penalty,autocross_score,endurance_number_of_laps,endurance_time_raw,endurance_cones,endurance_off_course,endurance_other_penalty,endurance_time_adjusted,endurance_time_score,endurance_lap_score,endurance_score,efficiency_time_average_adjusted,efficiency_laps_completed,efficiency_fuel_used_ltr,efficiency_energy_used_kwh,efficiency_adjusted_co2_kg,efficiency_average_adjusted_co2_per_lap_kg,efficiency_fuel_type_e85_93_100_ev_etc,efficiency_fuel_efficiency_factor,efficiency_score,endurance_efficiency_score,team_normalized,event_id,entry_id,overall_percentile
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Northwestern Univ,73.0,67.0,195.1,,195.1,US,4.0,,600.0,,202.3,446.0,0.0,80.0,,,80.0,,41.9,,41.9,25167.0,13.2,,,17.0,,66.2,,,,,,,,,,,,,,,,,,,,,,7.0,1419.437,3.0,,,,,,7.0,203.634,7.0,,,,,93,,0.0,7.0,northwestern_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_73_northwestern_univ,25.0
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Univ of Michigan - Dearborn,92.0,68.0,193.1,,193.1,US,1.0,,450.0,,188.7,416.0,0.0,80.0,,,80.0,,41.1,,41.1,21323.0,19.0,,,20.0,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,univ_of_michigan_dearborn,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_92_univ_of_michigan_dearborn,23.86
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Purdue Univ - Northwest,64.0,69.0,189.3,,189.3,US,4.0,,600.0,,207.3,457.0,0.0,60.0,,,60.0,,58.7,,58.7,17993.0,24.1,,,13.5,,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purdue_univ_northwest,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_64_purdue_univ_northwest,22.73
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Binghamton Univ,79.0,70.0,187.8,,187.8,US,2.0,,650.0,,247.2,545.0,0.0,60.0,,,60.0,,55.5,,55.5,18487.0,23.3,,,16.0,,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,binghamton_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_79_binghamton_univ,21.59
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Virginia Tech,107.0,71.0,187.5,,187.5,US,1.0,,450.0,,196.4,433.0,0.0,110.0,10.0,,100.0,,52.0,,52.0,33885.0,,,,13.5,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,virginia_tech,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_107_virginia_tech,20.45
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Lakehead University,118.0,72.0,173.7,,173.7,CA,4.0,,600.0,,249.0,549.0,0.0,60.0,10.0,,50.0,,61.6,,61.6,15321.0,28.1,,,14.0,10.0,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lakehead_university,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_118_lakehead_university,19.32
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Univ of Illinois - Chicago,110.0,73.0,169.9,,169.9,US,4.0,,600.0,,224.1,494.0,0.0,60.0,,,60.0,,40.8,,40.8,15328.0,28.1,,,3.0,,44.1,,,,,,,,,,,,,,,,,,,,,,10.0,2061.802,7.0,9.0,,2255.802,,,25.0,225.58,10.0,3.921,,9.057,0.9057,93,,0.0,25.0,univ_of_illinois_chicago,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_110_univ_of_illinois_chicago,18.18
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Duke Univeristy,125.0,74.0,168.8,,168.8,US,2.0,,689.0,,207.3,457.0,0.0,60.0,,,60.0,,55.7,,55.7,19646.0,21.6,,,15.5,,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,duke_univeristy,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_125_duke_univeristy,17.05
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Univ of Hartford,75.0,75.0,161.8,,161.8,US,1.0,,450.0,,219.5,484.0,0.0,40.0,,,40.0,,32.5,,32.5,21117.0,19.3,,,2.5,,49.8,4.0,6.52,,6.52,,4.5,2.0,7.297,7.683,7.49,,7.49,,3.5,3.0,66.318,1.0,,68.318,,6.5,10.0,2498.413,31.0,2.0,,2600.413,,,25.0,260.041,10.0,3.06,,7.068,0.7068,93,,0.0,25.0,univ_of_hartford,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_75_univ_of_hartford,15.91
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Univ of British Columbia - Okanagan,137.0,76.0,161.7,,161.7,CA,6.0,,600.0,,244.0,538.0,0.0,60.0,,,60.0,,34.3,,34.3,22388.0,17.4,,,11.5,,63.9,,,,,,,1.0,8.817,9.833,9.325,,9.325,,3.5,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,univ_of_british_columbia_okanagan,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_137_univ_of_british_columbia_okanagan,14.77
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Lawrence Technological Univ,87.0,77.0,148.3,,148.3,US,4.0,,600.0,,244.5,539.0,0.0,60.0,10.0,,50.0,,50.1,,50.1,26174.0,11.7,,,11.5,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawrence_technological_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_87_lawrence_technological_univ,13.64
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Carleton University,111.0,78.0,141.9,,141.9,CA,1.0,,450.0,,175.1,386.0,0.0,60.0,,,60.0,,30.9,,30.9,15047.0,28.5,,,6.5,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,carleton_university,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_111_carleton_university,12.5
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Central Michigan Univ,90.0,79.0,156.8,20.0,136.8,US,4.0,,600.0,,217.7,480.0,0.0,60.0,,,60.0,,43.3,,43.3,15389.0,28.0,,,4.5,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,central_michigan_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_90_central_michigan_univ,11.36
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,York Collge of Pennsylvania,62.0,80.0,129.2,,129.2,US,4.0,,600.0,,244.0,538.0,0.0,60.0,10.0,,50.0,,41.1,,41.1,21959.0,18.1,,,9.0,,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,york_collge_of_pennsylvania,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_62_york_collge_of_pennsylvania,10.23
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Texas Tech Univ,94.0,81.0,124.8,,124.8,US,1.0,,450.0,,184.6,407.0,0.0,60.0,,,60.0,,31.6,,31.6,26178.0,11.7,,,8.5,,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,texas_tech_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_94_texas_tech_univ,9.09
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Northern Illinois Univ,147.0,82.0,119.0,,119.0,US,4.0,,600.0,,240.0,529.0,0.0,40.0,,,40.0,,35.8,,35.9,14653.0,29.1,,,1.0,,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,northern_illinois_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_147_northern_illinois_univ,7.95
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Universidad Autonoma Estado Mexico,116.0,83.0,135.4,20.0,115.4,MX,1.0,,450.0,,234.5,517.0,0.0,40.0,,,40.0,,21.2,,21.3,12682.0,32.1,,,16.0,,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,universidad_autonoma_estado_mexico,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_116_universidad_autonoma_estado_mexico,6.82
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Univ of Minnesota - Duluth,136.0,84.0,94.4,,94.4,US,1.0,,625.0,,239.5,528.0,0.0,40.0,10.0,,30.0,,18.0,,18.1,14521.0,29.3,,,3.0,,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,univ_of_minnesota_duluth,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_136_univ_of_minnesota_duluth,5.68
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Penn State Univ - Harrisburg,93.0,85.0,104.4,30.0,74.4,US,4.0,,600.0,,249.0,549.0,0.0,60.0,10.0,,50.0,,54.4,,54.4,20576.0,20.2,,,0.5,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,penn_state_univ_harrisburg,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_93_penn_state_univ_harrisburg,4.55
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Univ of Central Florida,91.0,86.0,70.8,,70.8,US,4.0,,636.0,,,,0.0,,,,,,62.1,,62.1,21534.0,18.7,,,,10.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,univ_of_central_florida,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_91_univ_of_central_florida,3.41
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,California State Univ - Fullerton,133.0,87.0,84.2,30.0,54.2,US,2.0,,689.0,,205.5,453.0,0.0,40.0,,,40.0,,19.3,,19.4,17167.0,25.3,,,0.5,10.0,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,california_state_univ_fullerton,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_133_california_state_univ_fullerton,2.27
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Washington State Univ,135.0,88.0,53.1,,53.1,US,4.0,,650.0,,283.5,625.0,0.0,40.0,10.0,,30.0,,23.1,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,washington_state_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_135_washington_state_univ,1.14
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Midwestern State Univ,149.0,89.0,77.8,50.0,27.8,US,4.0,,600.0,,245.4,541.0,0.0,60.0,10.0,,50.0,,27.7,,27.7,11335.0,34.2,,,0.5,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,midwestern_state_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_149_midwestern_state_univ,0.0
