Competition,Year,Class,Source File,School,Car Number,Overall Place,Total Score Raw,Total Penalty,Total Score,Country,Number of Cylinders,Number of Motors,Engine Displacement (cc),Tractive System Voltage (V),Weight (kg),Weight (lbs),Design Status (Final or Blank),Design Raw Score,Design Document Penalty,Design Late Penalty,Design Score,Presentation Status (Final or Blank or RFP),Presentation Raw Score,Presentation Penalty,Presentation Score,Cost Adjusted Cost,Cost Price Score,Cost Accuracy Score,Cost Engineering Drawings Score,Cost Scenario Score,Cost Penalty,Cost Score,Acceleration Number of Runs,Acceleration Best Time Raw,Acceleration Best Time Cones,Acceleration Best Adjusted Time,Acceleration Penalty,Acceleration Score,Skidpad Number of Runs,Skidpad Best Time Raw Left,Skidpad Best Time Raw Right,Skidpad Best Time Raw Average,Skidpad Best Time Cones,Skidpad Best Adjusted Time,Skidpad Penalty,Skidpad Score,Autocross Number of Runs,Autocross Best Time Raw,Autocross Best Time Cones,Autocross Best Time Off Course,Autocross Best Adjusted Time,Autocross Penalty,Autocross Score,Endurance Number of Laps,Endurance Time Raw,Endurance Cones,Endurance Off Course,Endurance Other Penalty,Endurance Time Adjusted,Endurance Time Score,Endurance Lap Score,Endurance Score,Efficiency Time Average Adjusted,Efficiency Laps Completed,Efficiency Fuel Used (ltr),Efficiency Energy Used (kWh),Efficiency Adjusted CO2 (kg),Efficiency Average Adjusted CO2 per Lap (kg),"Efficiency Fuel Type (E85/93/100/EV, etc.)",Efficiency Fuel Efficiency Factor,Efficiency Score,Endurance+Efficiency Score
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Ohio State University,70,22,417.854289,,417.854288806344,,,,,,,,,90,,,90,,39.0878002650818,,39.0878002650818,,,,,,,90.0891625530416,4,4.224,,4.224,,65.0367612124667,4,,,5.4875,,5.4875,,26.0516833002742,4,41.966,,,41.966,,107.58888147548,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,California State Univ - Northridge,10,23,407.324896,,407.324895780349,,,,,,,,,50,,,50,,45.5272298528832,,45.5272298528832,,,,,,,78.7663643832017,4,4.494,,4.494,,51.4305530394257,4,,,5.4805,,5.4805,,26.3348865529481,4,43.676,,,43.676,,81.3536038098728,,,,,,,,,,,,,,,,,,,73.9122581420177
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,South Dakota Sch of Mines & Tech,6,24,402.105843,,402.105843000473,,,,,,,,,50,,,50,,56.1036653885474,,56.1036653885474,,,,,,,62.4737896990689,4,4.39,,4.39,,56.4732872211385,4,,,5.3695,,5.3695,,30.9747675854197,4,47.999,,,47.999,,23.3653305277194,,,,,,,,,,,,,,,,,,,122.715002578579
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Lafayette College,3,25,400.687323,,400.687322670692,,,,,,,,,30,,,30,,29.7780212669457,,29.7780212669457,,,,,,,48.3382380161041,4,5.29,,5.29,,19.4007216559288,4,,,6.496,,6.496,,2.5,4,46.714,,,46.714,,39.481204778011,,,,,,,,,,,,,,,,,,,231.189136953702
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Ecole Polytechnique De Montreal,9,26,392.749197,,392.749197030888,,,,,,,,,105,,,105,,32.9426330224622,,32.9426330224622,,,,,,,79.397418775456,4,4.476,,4.476,,52.2865647064338,2,,,5.2205,,5.2205,,37.6744238445081,2,43.4,,,43.4,,85.4481566820278,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Calif-Davis,51,27,348.917313,,348.917312539566,,,,,,,,,70,,,70,,35.9789609275512,,35.9789609275512,,,,,,,84.8125337668582,4,4.47,,4.47,,52.5734339407019,4,,,5.1465,,5.1465,,41.2200982283812,4,44.862,,,44.862,,64.3322856760733,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Western Ontario,67,28,341.831341,,341.831341022804,,,,,,,,,50,,,50,,62.5440386058349,,62.5440386058349,,,,,,,78.785108364363,4,4.368,,4.368,,57.5707905739263,2,,,5.6135,,5.6135,,21.1337989313799,4,44.334,,,44.334,,71.7976045473001,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Calif-San Diego,34,29,329.970435,,329.970434824482,,,,,,,,,70,,,70,,38.5140853403766,,38.5140853403766,,,,,,,65.6931820905349,4,4.137,,4.137,,69.7993177788454,3,,,5.444,,5.444,,27.8293318482275,4,45.31,,,45.31,,58.1345177664976,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Victoria,28,30,323.113909,,323.113908992189,,,,,,,,,70,,,70,,23.6113878033473,,23.6113878033473,,,,,,,66.7338825064935,4,4.519,,4.519,,50.2529608295192,4,,,5.3185,,5.3185,,33.2046542307817,4,43.815,,,43.815,,79.3110236220474,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Colorado State Univ,16,31,310.614509,,310.614508774143,,,,,,,,,70,,,70,,58.1353436662742,,58.1353436662742,,,,,,,56.2967940434613,4,4.341,,4.341,,58.9329303448832,4,,,5.761,,5.761,,15.7817100527412,4,45.802,,,45.802,,51.4677306667833,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Instituto Tecnologico De Chihuahua,12,32,306.61628,,306.61627973209,,,,,,,,,50,,,50,,36.0080730709159,,36.0080730709159,,,,,,,78.204505520367,4,4.537,,4.537,,49.4131302009651,,,,,,,,0,4,49.058,,,49.058,,10.7184353214563,,,,,,,,,,,,,,,,,,,82.2721356183857
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Delaware,36,33,303.835682,,303.835682076253,,,,,,,,,30,,,30,,44.8617122517926,,44.8617122517926,,,,,,,72.039328806541,4,4.324,,4.324,,59.7993010821308,4,,,5.543,1,5.793,,14.6742151909436,4,43.601,,,43.601,,82.4611247448454,,,,,,,,,,,,,,,,,,,0
